00-50-56-f5-c2-90,192.168.61.254
ff-ff-ff-ff-ff-ff,255.255.255.255
01-00-5e-00-00-16,224.0.0.22
01-00-5e-00-00-fb,224.0.0.251
01-00-5e-00-00-fc,224.0.0.252
01-00-5e-7f-ff-fa,239.255.255.250
00-50-56-f7-e5-8c,192.168.148.254
00-09-0f-09-00-02,10.14.12.1
90-6c-ac-3b-11-ac,10.14.12.10
00-50-56-a6-20-ca,10.14.12.50
00-50-56-a6-1f-35,10.14.12.51
00-50-56-a6-cd-d3,10.14.12.52
00-50-56-a6-ac-94,10.14.12.53
00-50-56-a6-a0-a6,10.14.12.54
00-50-56-a6-0c-20,10.14.12.55
d4-85-64-cd-b1-1a,10.14.12.58
3c-d9-2b-0c-4a-aa,10.14.12.59
d8-9d-67-19-aa-38,10.14.12.60
00-50-56-a6-1e-ad,10.14.12.62
00-50-56-a6-25-6b,10.14.12.63
00-50-56-a6-4b-38,10.14.12.64
00-50-56-a6-79-99,10.14.12.65
00-25-b3-a7-41-b4,10.14.12.66
00-50-56-a6-3d-46,10.14.12.67
00-50-56-a6-0e-11,10.14.12.70
d4-85-64-cd-b1-22,10.14.12.71
3c-d9-2b-0c-4a-b2,10.14.12.72
c8-cb-b8-ca-5f-c2,10.14.12.73
d0-67-26-ca-57-84,10.14.12.74
00-50-56-a6-c0-e8,10.14.12.75
00-1e-67-b4-51-f2,10.14.12.76
d0-27-88-a4-8f-c2,10.14.12.77
00-1e-67-b4-51-f6,10.14.12.78
d0-27-88-a4-8f-c1,10.14.12.79
00-50-56-a6-e2-91,10.14.12.81
00-50-56-a6-ee-7f,10.14.12.82
00-50-56-a6-9f-f7,10.14.12.83
d0-67-26-ca-57-86,10.14.12.84
3c-ef-8c-02-8e-4a,10.14.12.85
00-50-56-a6-07-51,10.14.12.86
00-50-56-a6-1f-bf,10.14.12.87
00-50-56-a6-e1-0d,10.14.12.88
00-40-9d-95-4e-bd,10.14.12.89
70-ca-9b-c9-40-8f,10.14.12.91
20-67-7c-f2-06-c4,10.14.12.92
20-67-7c-f2-06-c7,10.14.12.93
64-9e-f3-d9-3e-9c,10.14.12.96
64-9e-f3-d9-3d-88,10.14.12.97
64-9e-f3-d9-38-38,10.14.12.98
64-9e-f3-d9-3e-5e,10.14.12.100
64-9e-f3-d9-3d-34,10.14.12.101
64-9e-f3-d9-38-14,10.14.12.102
64-9e-f3-d9-3e-92,10.14.12.103
64-9e-f3-d9-3e-7c,10.14.12.104
64-9e-f3-d9-3d-d0,10.14.12.105
28-94-0f-a8-9c-1a,10.14.12.106
64-9e-f3-d9-3e-86,10.14.12.107
64-9e-f3-d9-3e-7a,10.14.12.108
28-94-0f-a8-9c-1c,10.14.12.109
64-9e-f3-d9-38-4a,10.14.12.110
28-94-0f-a8-9d-08,10.14.12.111
64-9e-f3-d9-38-42,10.14.12.112
28-94-0f-a8-9c-26,10.14.12.113
64-9e-f3-d9-38-06,10.14.12.114
00-0e-8c-8d-56-d9,10.14.12.115
00-60-16-9b-78-c8,10.14.12.128
00-60-16-9b-78-c9,10.14.12.129
00-60-16-9b-78-ca,10.14.12.130
00-60-16-9b-78-cb,10.14.12.131
00-50-56-a6-79-84,10.14.12.132
00-50-56-a6-fe-64,10.14.12.133
00-50-56-a6-03-39,10.14.12.134
00-50-56-a6-fa-c1,10.14.12.135
00-50-56-a6-cc-c3,10.14.12.136
00-50-56-a6-42-09,10.14.12.137
00-50-56-a6-42-08,10.14.12.138
00-50-56-a6-c5-06,10.14.12.139
74-86-0b-5e-74-c7,10.14.12.140
d4-2c-44-07-f6-c0,10.14.12.141
d4-2c-44-07-d1-40,10.14.12.142
00-22-be-18-f0-40,10.14.12.143
c4-44-a0-af-73-40,10.14.12.144
5c-50-15-39-a0-40,10.14.12.145
00-26-52-09-71-c0,10.14.12.146
dc-ce-c1-f9-9f-40,10.14.12.147
00-22-be-18-aa-40,10.14.12.148
d4-2c-44-06-96-40,10.14.12.149
c4-0a-cb-aa-37-c0,10.14.12.150
cc-3e-5f-6c-35-91,10.14.12.151
bc-f1-f2-34-cd-40,10.14.12.152
ec-eb-b8-76-09-00,10.14.12.153
c4-b3-6a-24-43-40,10.14.12.154
74-86-0b-5e-3a-c7,10.14.12.160
08-00-06-97-fb-b1,10.14.12.164
00-05-33-3a-73-a9,10.14.12.165
88-94-71-13-1a-36,10.14.12.167
88-94-71-13-ba-dc,10.14.12.168
00-0e-8c-82-b5-c2,10.14.12.169
88-94-71-13-ba-ac,10.14.12.171
00-0e-8c-96-27-ab,10.14.12.175
00-c0-ff-19-9d-11,10.14.12.178
00-c0-ff-1a-12-31,10.14.12.179
00-20-85-eb-f7-79,10.14.12.185
00-20-85-eb-f6-6d,10.14.12.186
00-50-56-a6-81-ab,10.14.12.187
94-18-82-46-e0-38,10.14.12.188
94-18-82-46-df-94,10.14.12.189
00-50-56-a6-4f-b3,10.14.12.190
00-50-56-a6-ae-c4,10.14.12.191
00-50-56-a6-3f-64,10.14.12.195
00-50-56-a6-e2-d3,10.14.12.196
00-50-56-a6-93-6e,10.14.12.197
28-63-36-b2-cf-0f,10.14.12.210
20-87-56-34-b0-56,10.14.12.211
00-00-48-27-64-47,10.14.12.220
00-1b-1b-bf-f5-81,10.14.12.223
00-21-cc-c8-ba-ce,10.14.12.238
00-1b-1b-82-8f-96,10.14.12.240
00-1b-1b-63-6e-ab,10.14.13.0
00-0e-8c-a2-5f-f1,10.14.13.1
00-0b-f4-83-0d-44,10.14.13.2
00-0b-f4-83-0a-ec,10.14.13.3
00-0b-f4-83-1a-f0,10.14.13.5
00-0b-f4-83-0c-e0,10.14.13.7
ac-64-17-4f-2c-d9,10.14.13.8
00-07-4d-86-8d-07,10.14.13.14
00-20-4a-fb-42-a8,10.14.13.15
00-20-4a-e5-82-51,10.14.13.16
00-0a-44-05-1c-df,10.14.13.20
00-18-ea-30-aa-4e,10.14.13.24
10-e7-c6-2a-d2-a0,10.14.13.25
00-01-23-37-4f-dc,10.14.13.27
00-0e-8c-81-6f-8e,10.14.13.30
28-63-36-ae-51-95,10.14.13.31
00-0b-f4-84-bd-4c,10.14.13.33
00-0b-f4-84-c7-10,10.14.13.34
00-0b-f4-84-bc-e8,10.14.13.35
a8-74-1d-6e-8b-19,10.14.13.44
00-20-4a-e5-81-9a,10.14.13.45
00-55-da-31-0d-79,10.14.13.50
00-0f-41-01-73-a8,10.14.13.51
00-07-4d-48-b0-82,10.14.13.52
34-e8-94-20-00-d3,10.14.13.53
00-07-4d-84-bb-3b,10.14.13.54
18-60-24-ad-d2-15,10.14.13.55
00-20-4a-e5-82-30,10.14.13.75
00-20-4a-e5-82-1a,10.14.13.76
00-21-91-97-dc-ff,10.14.13.81
00-07-4d-86-9b-0d,10.14.13.84
