10.14.12.0;Network adress
10.14.12.1;Reserved for Hamurg
10.14.12.2;Reserved for Hamurg
10.14.12.3;Reserved for Hamurg
10.14.12.4;Reserved for Hamurg
10.14.12.5;Reserved for Hamurg
10.14.12.6;Reserved for Hamurg
10.14.12.7;Reserved for Hamurg
10.14.12.8;Reserved for Hamurg
10.14.12.9;Reserved for Hamurg
10.14.12.10;Reserved for Hamurg
10.14.12.11;Reserved for Hamurg
10.14.12.12;Reserved for Hamurg
10.14.12.13;Reserved for Hamurg
10.14.12.14;Reserved for Hamurg
10.14.12.15;Reserved for Hamurg
10.14.12.16;Reserved for Hamurg
10.14.12.17;Reserved for Hamurg
10.14.12.18;Reserved for Hamurg
10.14.12.19;Reserved for Hamurg
10.14.12.20;Reserved for Hamurg
10.14.12.21;Reserved for Hamurg
10.14.12.22;Reserved for Hamurg
10.14.12.23;Reserved for Hamurg
10.14.12.24;Reserved for Hamurg
10.14.12.25;Reserved for Hamurg
10.14.12.26;Reserved for Hamurg
10.14.12.27;Reserved for Hamurg
10.14.12.28;Reserved for Hamurg
10.14.12.29;Reserved for Hamurg
10.14.12.30;Reserved for Hamurg
10.14.12.31;Reserved for Hamurg
10.14.12.32;Reserved for Hamurg
10.14.12.33;Reserved for Hamurg
10.14.12.34;Reserved for Hamurg
10.14.12.35;Reserved for Hamurg
10.14.12.36;Reserved for Hamurg
10.14.12.37;Reserved for Hamurg
10.14.12.38;Reserved for Hamurg
10.14.12.39;Reserved for Hamurg
10.14.12.40;Reserved for Hamurg
10.14.12.41;Reserved for Hamurg
10.14.12.42;Reserved for Hamurg
10.14.12.43;Reserved for Hamurg
10.14.12.44;Reserved for Hamurg
10.14.12.45;Reserved for Hamurg
10.14.12.46;Reserved for Hamurg
10.14.12.47;Reserved for Hamurg
10.14.12.48;Reserved for Hamurg
10.14.12.49;Reserved for Hamurg
10.14.12.50;POZISFILE01
10.14.12.51;POZISFILE02
10.14.12.52;POZISFILE03
10.14.12.53;POZISAPP01
10.14.12.54;POZISMDCCOM01
10.14.12.55;POZISMDCMAIN01
10.14.12.56;POZI40
10.14.12.57;POZI40
10.14.12.58;POZISESX01
10.14.12.59;POZISESX02
10.14.12.60;POZISESX03
10.14.12.61;EMC Avamar Proxy
10.14.12.62;Vcenter
10.14.12.63;POZISPROMAS01
10.14.12.64;POZISMGMT01
10.14.12.65;POZISFWNET03
10.14.12.66;POZISMGMT02
10.14.12.67;POZISIPRS02
10.14.12.68;POZI41
10.14.12.69;
10.14.12.70;POZISOPCUA01
10.14.12.71;ILO HV1
10.14.12.72;ILO HV2
10.14.12.73;ILO HV3
10.14.12.74;ILO HV4
10.14.12.75;POZISEDM01
10.14.12.76;POZISAVAMAR01
10.14.12.77;POZIMDATADOMAIN01 / POZIMDD01
10.14.12.78;POZISAVAMAR01
10.14.12.79;POZIMDATADOMAIN01
10.14.12.80;
10.14.12.81;POZISSQLCOPY
10.14.12.82;POZISCCTV
10.14.12.83;POZITMONIT01
10.14.12.84;POZISESX04
10.14.12.85;Rejestrator - kamery przemys³owe
10.14.12.86;VMware vronUI
10.14.12.87;VMware Analytics
10.14.12.88;POZISLIC
10.14.12.89;Anywhere USB
10.14.12.90;POZINWLC1
10.14.12.91;POZINWLC2
10.14.12.92;POZISESX05
10.14.12.93;POZISESX05_ILO
10.14.12.94;
10.14.12.95;
10.14.12.96;POZINAP01
10.14.12.97;POZINAP02
10.14.12.98;POZINAP03
10.14.12.99;POZINAP04
10.14.12.100;POZINAP05
10.14.12.101;POZINAP06
10.14.12.102;POZINAP07
10.14.12.103;POZINAP08
10.14.12.104;POZINAP09
10.14.12.105;POZINAP10
10.14.12.106;POZINAP11
10.14.12.107;POZINAP12
10.14.12.108;POZINAP13
10.14.12.109;POZINAP14
10.14.12.110;POZINAP15
10.14.12.111;POZINAP16
10.14.12.112;POZINAP17
10.14.12.113;POZINAP18
10.14.12.114;POZINAP19
10.14.12.115;POZINAPS01
10.14.12.116;
10.14.12.117;
10.14.12.118;
10.14.12.119;
10.14.12.120;
10.14.12.121;Blokada dla nowego VM BSS
10.14.12.122;Blokada dla nowego VM BSS
10.14.12.123;Blokada dla nowego VM BSS
10.14.12.124;Blokada dla nowego VM BSS
10.14.12.125;Blokada dla nowego VM BSS
10.14.12.126;
10.14.12.127;
10.14.12.128;POZIMDD02
10.14.12.129;POZIMDD02
10.14.12.130;POZIMDD02
10.14.12.131;POZIMDD02
10.14.12.132;POZISAVAMAR1
10.14.12.133;POZISAVPROXY1
10.14.12.134;POZISAVPROXY2
10.14.12.135;POZISAVAMAR2
10.14.12.136;POZISAVPROXY3
10.14.12.137;POZISMDCMAIN02
10.14.12.138;POZISMDCCOM02
10.14.12.139;POZITMDCMAIN02
10.14.12.140;POZINSW00
10.14.12.141;POZINSW01
10.14.12.142;POZINSW02
10.14.12.143;POZINSW03
10.14.12.144;POZINSW04
10.14.12.145;POZINSW05
10.14.12.146;POZINSW06
10.14.12.147;POZINSW09
10.14.12.148;POZINSW3A
10.14.12.149;POZINSW10
10.14.12.150;POZINSW11
10.14.12.151;POZINSW15
10.14.12.152;POZINSW12
10.14.12.153;POZINSW13
10.14.12.154;POZINSW14
10.14.12.155;
10.14.12.156;
10.14.12.157;
10.14.12.158;
10.14.12.159;
10.14.12.160;POZINSW100
10.14.12.161;
10.14.12.162;
10.14.12.163;
10.14.12.164;POZINSW08
10.14.12.165;POZINSWFC1
10.14.12.166;POZINSWFC2
10.14.12.167;POZINSWFC3
10.14.12.168;POZINSWFC4
10.14.12.169;POZINSW07
10.14.12.170;POZINSWE01
10.14.12.171;POZINSWFC5
10.14.12.172;
10.14.12.173;
10.14.12.174;
10.14.12.175;POZINSWS01
10.14.12.176;
10.14.12.177;Autoloader HP 1x8 G2
10.14.12.178;MSA P2000 [A]
10.14.12.179;MSA P2000 [B]
10.14.12.180;
10.14.12.181;
10.14.12.182;
10.14.12.183;
10.14.12.184;
10.14.12.185;Eaton UPS A
10.14.12.186;Eaton UPS B
10.14.12.187;POZISIPM01
